topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
6	11045	0.031921	0.007253	Vinge, Vernor
10	10955	0.031661	0.005145	Vinge, Vernor
53	10121	0.029251	0.002702	Vinge, Vernor
48	9782	0.028271	0.003781	Vinge, Vernor
27	9575	0.027673	0.011135	Vinge, Vernor
65	9061	0.026187	0.003315	Vinge, Vernor
73	8981	0.025956	0.004125	Vinge, Vernor
3	8966	0.025913	0.008727	Vinge, Vernor
29	8535	0.024667	0.005620	Vinge, Vernor
47	8146	0.023543	0.003100	Vinge, Vernor
13	7932	0.022924	0.012037	Vinge, Vernor
1	7047	0.020366	0.004852	Vinge, Vernor
68	6707	0.019384	0.004560	Vinge, Vernor
23	6043	0.017465	0.002057	Vinge, Vernor
36	5959	0.017222	0.003454	Vinge, Vernor
18	5220	0.015086	0.002939	Vinge, Vernor
40	4654	0.013450	0.002987	Vinge, Vernor
0	4643	0.013419	0.002671	Vinge, Vernor
50	3237	0.009355	0.001950	Vinge, Vernor
26	3063	0.008852	0.003008	Vinge, Vernor
15	2890	0.008352	0.002520	Vinge, Vernor
69	2521	0.007286	0.003216	Vinge, Vernor
9	2051	0.005928	0.001728	Vinge, Vernor
44	1827	0.005280	0.001153	Vinge, Vernor
19	1696	0.004902	0.001783	Vinge, Vernor
38	1493	0.004315	0.002584	Vinge, Vernor
45	1295	0.003743	0.001317	Vinge, Vernor
5	1265	0.003656	0.002700	Vinge, Vernor
58	1238	0.003578	0.001936	Vinge, Vernor
51	1172	0.003387	0.001248	Vinge, Vernor
14	961	0.002777	0.002207	Vinge, Vernor
35	941	0.002720	0.000846	Vinge, Vernor
34	902	0.002607	0.001780	Vinge, Vernor
4	896	0.002590	0.001108	Vinge, Vernor
57	861	0.002488	0.000865	Vinge, Vernor
2	852	0.002462	0.001023	Vinge, Vernor
16	754	0.002179	0.001015	Vinge, Vernor
54	701	0.002026	0.000919	Vinge, Vernor
72	639	0.001847	0.001969	Vinge, Vernor
46	633	0.001829	0.000956	Vinge, Vernor
55	545	0.001575	0.001127	Vinge, Vernor
52	495	0.001431	0.001223	Vinge, Vernor
32	480	0.001387	0.001015	Vinge, Vernor
31	424	0.001225	0.001537	Vinge, Vernor
37	423	0.001223	0.001528	Vinge, Vernor
42	308	0.000890	0.000832	Vinge, Vernor
12	271	0.000783	0.000485	Vinge, Vernor
22	263	0.000760	0.000828	Vinge, Vernor
30	262	0.000757	0.000389	Vinge, Vernor
11	260	0.000751	0.000951	Vinge, Vernor
74	257	0.000743	0.000778	Vinge, Vernor
56	249	0.000720	0.001123	Vinge, Vernor
62	246	0.000711	0.000603	Vinge, Vernor
8	241	0.000697	0.000447	Vinge, Vernor
64	218	0.000630	0.001533	Vinge, Vernor
60	205	0.000592	0.000387	Vinge, Vernor
49	191	0.000552	0.000588	Vinge, Vernor
59	171	0.000494	0.000502	Vinge, Vernor
20	154	0.000445	0.000698	Vinge, Vernor
63	153	0.000442	0.000513	Vinge, Vernor
43	131	0.000379	0.000882	Vinge, Vernor
71	87	0.000251	0.000381	Vinge, Vernor
67	80	0.000231	0.000527	Vinge, Vernor
66	71	0.000205	0.000366	Vinge, Vernor
24	57	0.000165	0.000139	Vinge, Vernor
33	48	0.000139	0.000337	Vinge, Vernor
28	171235	0.074888	0.033994	Brunner, John
31	158938	0.069510	0.576115	Brunner, John
