topicID	numTokens	proportionOfTopic	proportionOfWord	word
1	11586	0.007977	0.339069	building
1	8587	0.005913	0.102178	open
1	8447	0.005816	0.510085	windows
1	7974	0.005490	0.111074	inside
1	7870	0.005419	0.440403	doors
1	7754	0.005339	0.360651	hall
1	7750	0.005336	0.255354	led
1	7697	0.005300	0.062694	place
1	7683	0.005290	0.073171	light
1	7311	0.005034	0.074778	stood
1	7171	0.004938	0.149864	large
1	7056	0.004858	0.069910	along
1	7031	0.004841	0.641515	rooms
1	7026	0.004838	0.231881	stone
1	6944	0.004781	0.060960	small
60	4624	0.008733	0.985928	marc
60	4108	0.007758	0.046863	human
60	3955	0.007469	0.196766	mental
60	3276	0.006187	0.995745	milieu
60	3229	0.006098	0.163328	king
60	2961	0.005592	0.740250	elizabeth
60	2606	0.004922	0.979699	felice
60	2201	0.004157	0.153594	golden
60	2150	0.004060	1.000000	pliocene
60	2054	0.003879	0.407540	exotic
60	2015	0.003806	0.016950	great
60	1988	0.003755	0.150949	grand
60	1954	0.003690	0.108858	humans
60	1910	0.003607	0.927184	teresa
60	1763	0.003330	0.089221	minds
60	1697	0.003205	0.138757	paul
60	1658	0.003131	0.210406	jack
60	1607	0.003035	0.059387	lord
60	1599	0.003020	0.999375	operant
60	1592	0.003007	0.112828	galactic
24	11091	0.027119	0.958600	n’t
24	8968	0.021928	0.863138	ﬁrst
24	8016	0.019600	0.999501	don’t
24	6622	0.016192	0.978139	i’m
24	4286	0.010480	0.999068	it’s
24	4183	0.010228	0.812233	ﬁnd
24	3938	0.009629	0.999492	you’re
24	3640	0.008900	0.983784	i’ve
24	3317	0.008111	0.993114	can’t
24	3251	0.007949	0.997239	i’ll
24	2490	0.006088	1.000000	there’s
24	2259	0.005524	0.134145	robot
24	2248	0.005497	0.932780	ﬁre
24	2220	0.005428	1.000000	that’s
24	2147	0.005250	0.402060	drone
24	2122	0.005189	0.968950	we’re
24	2097	0.005128	0.993839	i’d
